[00:00:00 - 00:01:00] | Э. Шмидт | Весьма широкий спектр вопросов, Сергей.
[00:38:00 - 00:39:00] | Э. Шмидт | Давайте я вам немного о нем расскажу... Сейчас я приведу статистику Amazon. Вы ведь все знаете об Amazon, верно? В прошлом месяце компания Amazon объявила, что уровень продаж электронных книг превысил уровень продаж обычных книг. Узнав об этом, я воскликнул: «Бог ты мой!» Мне казалось, люди будут приобретать по две—три электронные книги. Однако я ошибался. Суть в том, что теперь множество людей приобретает книги за фиксированную плату. Сейчас развернулась жестокая конкурентная борьба между Apple, Amazon и Google за ценообразование на рынке электронных книг. Подобная конкуренция идет на пользу потребителю. Но удивительным для меня было то, насколько быстро люди переходят на электронные версии книг по причине их удобства. Если у вас есть iPad, планшет на базе Android, различные устройства Kindle или какое-нибудь другое средство чтения электронных книг, сам процесс чтения и ношения с собой книг становится намного проще. Потому что вы устаете от необходимости носить с собой обычные книги, вы постоянно путешествуете и так далее. Клиенты перемещаются, клиенты голосуют, и они голосуют за электронные книги. У этих книг другая модель монетизации. В США цены на них составляют от 10 до 12 долларов США. Такой подход изменит отрасль. Но люди читают все больше книг. И это прекрасно!
[00:39:00 - 00:40:00] | С. Гуриев | Да. Давайте вернемся к разговору о службе «Google Книги». С ней связан серьезный спор, касающийся прав интеллектуальной собственности, верно?
[00:40:00 - 00:41:00] | Э. Шмидт | Здесь есть два различных аспекта. Служба «Google Книги» очень похожа на то, что делают Amazon и Apple. Это очень успешные и быстрорастущие службы. И, похоже, наша служба тоже окажется весьма успешной. Мы занимаемся и кое-чем еще. Наша компания сканирует книги из библиотек, с которыми заключены соглашения о партнерстве. Это привело к очень большому судебному процессу в США, который мы урегулировали после четырех лет переговоров. Я не могу себе представить, чтобы подобное произошло в России, но в США эта процедура потребовала четырехлетних переговоров. Мы достигли договоренности с противоположной стороной, подали судье ходатайство об урегулировании дела, и, потратив год на прочтение этого ходатайства, судья вынес решение, что оно ему не нравится. То есть мы этим занимаемся уже, в общей сложности, семь лет. Поэтому все еще обсуждаются различные аспекты нашей деятельности по сканированию книг, а именно: что мы должны делать: должны ли мы предпринимать попытки изменения законодательства или мы должны вернуться в суд и продолжить разбирательство. Но все это не относится напрямую к разговору о службе «Google Книги». Мы сканируем книги, поскольку убеждены, что если вы студент в каком- нибудь российском городе, то у вас должна быть возможность читать те книги со всего мира, которые не защищены ничьими авторскими правами. А текущий вопрос был связан с отдельным сегментом этих книг, для которого не обеспечивается соблюдение авторских прав, неизвестно, кто владеет этими правами, и так далее. Предмет юридического спора заключался именно в этом.
[00:41:00 - 00:42:00] | С. Гуриев | Верно. Теперь еще один противоречивый вопрос — защита конфиденциальности частной жизни. Буквально сегодня мы услышали новости из Коннектикута. Главный прокурор штата Коннектикут пригласил руководителей Facebook поговорить на тему технологии распознавания лиц. Мы знаем, что в службе Google Goggles компания специально запретила использовать распознавание лиц, даже несмотря на то, что такая техническая возможность уже существует.
[00:42:00 - 00:43:00] | Э. Шмидт | Да, все верно.
[00:43:00 - 00:44:00] | С. Гуриев | Но поскольку технология уже доступна, я полагаю, что через 10 лет ее внедрение будет практически бесплатным. Быть может, этим будет заниматься не Google, а кто-либо еще. И мы уже видим, что Facebook делает нечто схожее. Как Вы думаете, что произойдет с защитой конфиденциальности частной жизни через 10 лет?
[00:44:00 - 00:45:00] | Э. Шмидт | Я очень озабочен широким внедрением технологии распознавания лиц и полагаю, что многие разделяют мою озабоченность. Чтобы все знали, о чем идет речь, давайте поговорим об этой технологии. Оказалось, что технология распознавания изображений в теории вычислительных систем получила настолько хорошее развитие в части распознавания лиц, что становится страшно. Статистика такова, что если взять 10 или 20 ваших фотографий на фоне толпы, то мы сможем, с некоторой долей вероятности, идентифицировать вас, даже не зная вашего имени и прочих данных. Такого рода деятельность, вообще говоря, является незаконной и требует получения лицензии, поскольку затрагивает частную жизнь людей. Мне это известно, поскольку я занимался анализом европейского законодательства с целью создания сводной базы данных по этой категории права. И наша компания обычно поддерживает эти правила. Поэтому, с нашей точки зрения, предоставление подобного рода услуг без разрешения пользователя — плохая идея, поскольку становится возможным их неправомерное использование. И можно представить, какие это будут способы неправомерного использования. Если я сфотографирую всех присутствующих, с помощью данной технологии можно будет автоматически назвать имя каждого, и это будет самым настоящим вторжением в частную жизнь. Поэтому мы весьма озабочены защитой конфиденциальности частной жизни. Мы хотим, чтобы люди имели возможность сказать: «Я хочу участвовать» или «Я не хочу участвовать». И я думаю, что именно этот подход обеспечит появление необходимых законодательных и нормативно- правовых актов.
[00:45:00 - 00:46:00] | С. Гуриев | Но во многих, а вообще говоря, во всех странах мира у людей нет права владеть огнестрельным оружием, если они не имеют соответствующей лицензии. Но преступники там все равно есть.
[00:46:00 - 00:47:00] | Э. Шмидт | Вы когда-нибудь были в США?
[00:47:00 - 00:48:00] | С. Гуриев | Но даже там люди все равно обязаны получать какое-то разрешение, верно?
[00:48:00 - 00:49:00] | Э. Шмидт | Только в некоторых штатах.
[00:49:00 - 00:50:00] | С. Гуриев | Но в любом случае, если говорить об упомянутой Вами Европе, там нельзя законно владеть личным огнестрельным оружием, кроме некоторых особых случаев. Однако люди все равно совершают преступления с его помощью. И если рассматривать вопрос под этим углом, я думаю, что технология распознавания лиц через 10 лет станет настолько дешевой, что даже люди без лицензии смогут разработать и эксплуатировать продукты на ее основе, верно?
[00:50:00 - 00:51:00] | Э. Шмидт | Но это пример той ситуации, при которой пользователи Интернета, местные сообщества и общество в целом будут вынуждены, в конце концов, принять решение о форме регулирования подобной деятельности. Интернет- компании должны работать в соответствии с законами страны, в которой они ведут бизнес.
[00:51:00 - 00:52:00] | С. Гуриев | Согласен.
[00:52:00 - 00:53:00] | Э. Шмидт | Поэтому, находясь в России, мы работаем в соответствии с российскими законами. И нам приходится взаимодействовать с органами государственной власти, чтобы их представители понимали возможности, которые открывают технологии. Мы обязаны уважать местную культуру. В некоторых случаях мы прекращали доступ пользователей к нашим продуктам, которые не соответствовали законодательству. Но у нас нет выбора. Наша компания не является суверенным государством. И я думаю, что другие государства также не могут навязывать нам свою волю. Можно вообразить сценарий, в котором преступники могут использовать любые технологии, предназначенные для причинения вреда. Но к подобным технологиям также можно причислить и телефон. Разве вы не знаете, что преступники тоже пользуются телефонами?
[00:53:00 - 00:54:00] | С. Гуриев | Согласен с Вами. Они даже на автомобилях ездят.
[00:54:00 - 00:55:00] | Э. Шмидт | Да, они водят автомобили и пользуются телефонами.
[00:55:00 - 00:56:00] | С. Гуриев | Да.
[00:56:00 - 00:57:00] | Э. Шмидт | Но они не должны этого делать. На самом деле преступники должны оставить преступный путь. Они больше не должны совершать преступления. Я не знаю, как это лучше сказать. Эти виды деятельности незаконны. Мы их не поддерживаем. И не хотим в них участвовать.
[00:57:00 - 00:58:00] | С. Гуриев | Спасибо. Еще один вопрос, которого Вы коснулись вчера, звучит следующим образом: на Ваш взгляд, насколько сильно новые технологии смогут расширить возможности органов государственной власти по контролю за общим уровнем преступности и борьбе с терроризмом? Или насколько сильно смогут новые технологии помочь террористическим сетям в их деятельности?
[00:58:00 - 00:59:00] | Э. Шмидт | Итак, давайте зададим вопрос всем присутствующим. Представим, что перед вами выбор: остаться без Интернета или пользоваться сетью Интернет, в которой действуют преступники. Какой из вариантов, по- вашему, позволяет создать более безопасное общество? С одной стороны, при реализации варианта «вообще никакого Интернета» преступники не смогут им воспользоваться. Но, разумеется, все мы, здесь присутствующие, также не сможем им воспользоваться, хотя и не являемся преступниками. Возьму на себя смелость утверждать следующее. Никому из нас не нужны проявления дурного, криминального поведения, и, по большому счету, существование Интернета несет пользу для всех граждан, и органы государственной власти всегда могут опереться на честное и законопослушное большинство граждан, чтобы урегулировать возможные проблемы. Поэтому всем, кто называет Интернет злом, дурным явлением, которое необходимо запретить, я отвечу: почему бы нам не спросить об этом людей, пользующихся Интернетом, большинство которых честны и законопослушны? Если заметили что-нибудь, что вам не нравится, укажите на это, сообщите об этом. В этом суть краудсорсинга. Возьму на себя смелость утверждать, что широкое распространение Интернета, в конечном итоге, способствует безопасности страны, поскольку позволяет быстрее сообщать о преступлениях и ненормальном поведении людей. Органы государственной власти могут использовать возможности Интернета для того, чтобы понимать текущие процессы в обществе и лучше представлять себе, чего хотят люди.
[00:59:00 - 01:00:00] | С. Гуриев | Другими словами, Вы утверждаете, что Интернет эффективен, что органы государственной власти с его помощью могут взаимодействовать с гражданами и гражданским обществом и, если брать более крупный масштаб, бороться с преступностью и коррупцией.
[01:00:00 - 01:01:00] | Э. Шмидт | Наиболее очевидной из этих проблем является коррупция. Допустим, для страны характерен некий уровень коррупции. Наиболее простой способ, которым граждане могут попытаться предотвратить коррупцию, — отправить в органы государственной власти запрос о полном раскрытии всех сведений о расходовании бюджетных средств. А затем те граждане, у которых есть свободное время, смогут отследить эти расходы и сообщить о случаях, когда закупочная стоимость сидений для туалетов составляет 1000 долларов США, а их рыночная цена — всего 10 долларов. Я допускаю, что есть более качественные сиденья для туалетов, но они, вероятно, стоят не в 100 раз дороже.
[01:01:00 - 01:02:00] | С. Гуриев | Дорогостоящие сиденья для туалетов обычно устанавливают на военные самолеты.
[01:02:00 - 01:03:00] | Э. Шмидт | Да, на военные самолеты. На самом деле, в США была большая... Не знаю, как с этим обстоят дела у вас в России, но у нас была возмутительная проблема: государство закупало для военных туалетные сиденья стоимостью несколько тысяч долларов США за одну штуку.
[01:03:00 - 01:04:00] | С. Гуриев | Да, это потрясает.
[01:04:00 - 01:05:00] | Э. Шмидт | И оказалось, что причиной была установленная процедура материально- технического снабжения армии. А не коррупция, как считалось ранее. Но это пример неэффективности, о которой был получен сигнал, после чего были приняты меры к ее устранению. Теперь мы приобретаем для нашей армии сиденья для туалетов за 5 долларов США, что вполне разумно. Я хочу сказать, что приведенный мною очевидно глупый пример с сиденьями для туалетов показывает, как мы можем повысить прозрачность государственной власти, и это будет способствовать ее честности. А Интернет также помогает сделать деятельность граждан более прозрачной, что помогает оценить плохие и хорошие качества населения страны.
[01:05:00 - 01:06:00] | С. Гуриев | На самом деле, это подводит нас к другому вопросу о влиянии новых технологий на политику. Вчера Вы говорили о том, как новые социальные сети повлияли на протестное движение на Ближнем Востоке и, в конце концов, позволили сместить некоторые из правивших там режимов. Но я хочу задать вопрос в унисон с Вашим последним комментарием. Как Вы думаете, насколько «прямой» может стать деятельность политиков? Я имею в виду, что в той же Калифорнии люди могут голосовать по множеству важных политических вопросов напрямую, поскольку стоимость проведения голосования сейчас заметно упала. Как Вы думаете, в какой степени это изменит характер работы политической системы?
[01:06:00 - 01:07:00] | Э. Шмидт | Я убежден, что Интернет окажет многообразное влияние на политику. Хотя лично я не верю, что мы перейдем к более «прямой» демократии. Многие уверены, что калифорнийский эксперимент завершился крахом. Сейчас дефицит бюджета штата Калифорния превышает дефицит бюджета большинства стран. Так что, повторюсь, существует множество критических отзывов о калифорнийской системе, которая зародилась в 1911 году.
[01:07:00 - 01:08:00] | С. Гуриев | Фактический дефицит там больше, чем ВВП многих стран.
[01:08:00 - 01:09:00] | Э. Шмидт | Абсолютно верно. Еще раз повторю, что калифорнийская заключает в себе ряд проблем. Но давайте немного поговорим о роли, которую социальные сети играют в деятельности органов государственной власти различных стран. В первую очередь, существует проблема, связанная с голосованием, поскольку далеко не все люди зарегистрированы в социальных сетях, а Вы наверняка захотите, чтобы в этом процессе участвовали все граждане. Также в современных онлайн-системах не очень хорошо обстоят дела с идентификацией личности. Мы не можем быть уверены, что отдавшее голос лицо является именно тем, за кого себя выдает. И над решением этих технологических проблем необходимо работать.
[01:09:00 - 01:10:00] | С. Гуриев | Но, вероятно, эти проблемы решаемы.
[01:10:00 - 01:11:00] | Э. Шмидт | Они разрешимы с течением времени. Но если Вы внимательно рассмотрите арабские революции, то увидите, что их причиной было нежелание государства делиться своим богатством с гражданами, а граждане не участвовали в создании достаточно прочной экономики и уверенного экономического роста. И, в конце концов, движущей силой протеста стало желание не только политической, но и экономической свободы. Было ощущение, что это статичные, застойные страны, органы государственной власти которых не выражают волю граждан. И в подобной ситуации граждане могут воспользоваться Facebook схожим образом: запланировать протестные акции в Facebook, использовать Twitter для сбора людей на эти акции, а YouTube — для обнародования результатов. И мы, в большинстве случаев, гордимся людьми, которые в этом участвуют. Мы считаем, что органы государственной власти должны служить народу в любой стране, вне зависимости от того, является ли эта страна демократической или не очень. И я думаю, что технологии здесь играют важную роль. Даже притом, что во многих случаях это излишне подчеркивается. В тех странах были смелые люди, которые вышли на улицы и рискнули своей жизнью. Они использовали доступные им средства, включая те, которые использовались предыдущими поколениями — телефоны, автомобили и прочее.
[01:11:00 - 01:12:00] | С. Гуриев | Хорошо, спасибо. У нас есть немного времени для вопросов, поэтому я предлагаю их задать. У кого-нибудь есть вопросы? Да, пожалуйста. Микрофон вон там. Подождите, пока его принесут.
[01:12:00 - 01:13:00] | Э. Шмидт | Да. Давайте принесем еще несколько микрофонов, чтобы вопросы было слышно на видеозаписи.
[01:13:00 - 01:14:00] | С. Гуриев | Пожалуйста, поднимайте руки, чтобы мы смогли организованно раздать микрофоны и сэкономить время. Из зала: Мне интересно, каким оказался опыт работы Google в Китае. Я вместе с двумя своими друзьями пытаюсь понять, как можно помочь предпринимателям выйти на рынок Китая. Мы прилагаем все усилия, чтобы понять особенности этого рынка. Допустим, что предстоит не просто проделать заново всю работу Вашей компании в Китае, но рассмотреть проблему помощи американским компаниям с выходом на рынок Китая. На какие важнейшие вопросы нам следует обратить внимание, если учесть опыт Google и все те проблемы, с которыми пришлось столкнуться Вашей компании?
[01:14:00 - 01:15:00] | Э. Шмидт | Опыт Google был, разумеется, весьма разнообразным. Наверное, Вы именно поэтому задали такой вопрос. В Китае существует крайне мало законов о компаниях, которые принадлежат иностранцам. Наиболее важный из этих законов гласит, что запрещается создавать компании, которыми владеют исключительно иностранцы. Необходимо создавать дочернее предприятие, которое принадлежит гражданам Китая и в котором иностранный компонент — американская или российская фирма — является не основным. Поэтому приходится создавать совместное предприятие: мы пошли именно по этому пути. В нашем случае произошло следующее: китайские законы о свободе самовыражения и цензуре привели к появлению активной цензуры во Всемирной Паутине. После пяти лет попыток наладить взаимодействие с китайскими органами государственной власти мы сочли, что их требования и законодательные ограничения неприемлемы для нас. И поэтому мы переехали в другой Китай. Китаю нравится говорить об идее «одна страна — две системы». Мы предпочли систему Гонконга, где эти законы не действуют. И так случилось, что современный Google работает в другом Китае, материковом Китае, взаимодействуя с ним через брандмауэр, установленный между Гонконгом и материковым Китаем. Это кажется нам работоспособным решением. Мы смогли получить лицензии на ведение бизнеса, многие из которых были обязательными, и нам удалось наладить взаимодействие с органами государственной власти. И обстановка в целом оказалась вполне стабильной. Хочу сказать, что в Китае трудно вести дела: этому мешают действующие там законы. Но там имеется прекрасная возможность проявить свой предпринимательский талант. Китайская культура крайне ориентирована на предпринимательство. Граждане Китая очень умны. Культура этой страны развивается чрезвычайно быстро. И я призываю Вас соблюдать законы, а также обязательно инвестировать в Китай и выходить на его рынок.
[01:15:00 - 01:16:00] | С. Гуриев | Спасибо. У одного из присутствующих возник вопрос.
[01:16:00 - 01:17:00] | Д. Клевжиц | Дмитрий Клевжиц из Национального агентства по инвестициям и приватизации. У меня такой вопрос: как Вы представляете себе будущее Google, допустим, через 10–20 лет?
[01:17:00 - 01:18:00] | Э. Шмидт | Очень трудно предсказать, что произойдет даже в ближайшие пять лет. Давайте посчитаем. Закон Мура по-прежнему действует, он обуславливает удвоение производительности вычислительной техники каждые два года. Это означает, что через 10 лет все компьютеры будут примерно в 32 раза быстрее. А через 20 лет — в тысячу раз быстрее. Представьте себе, что Ваш мобильный телефон стал в тысячу раз дешевле и в тысячу раз быстрее. Ваши пальцы остались прежними, а скорость работы возросла. Задумайтесь над тем, что мы сможем сделать при таких вычислительных мощностях. В тысячу раз больше серверов, знаний и всего остального. Мы сможем предлагать Вам различные необходимые вещи. Опять-таки, с Вашего разрешения, мы сможем узнавать о Вас некоторые вещи — Ваши предпочтения и интересы. Наверное, мы сможем создать всемирный календарь событий. Вероятно, мы сможем предложить Вам варианты новых знакомств с людьми, новые области знания и предметы для изучения. Все это — проекты, которые сейчас разрабатываются отдельными компаниями нашей отрасли. Что касается перспектив Google, возьму на себя смелость заявить: компания Google будет заниматься, главным образом, информационным бизнесом, но Вы увидите от нас меньше ответов в стиле «вот, перед вами вся Всемирная Паутина»: мы будем больше двигаться в сторону выдачи Вам верных ответов. В период, о котором Вы говорите, разработанная нами технология искусственного интеллекта получит еще большее развитие, и мы сможем давать правильные ответы на правильные вопросы, не заставляя пользователей проверять список информационных ресурсов на соответствие их потребностям. И развитие технологий открывает для этого новые увлекательные возможности.
[01:18:00 - 01:19:00] | С. Гуриев | Давайте остановимся на вопросе о еще одном продукте Google под названием «Google Переводчик». Я уверен, что выражение «в тысячу раз более удобные вычислительные мощности» подразумевает, что наши мобильные телефоны смогут переводить разговор с одного языка на другой в реальном времени.
[01:19:00 - 01:20:00] | Э. Шмидт | И вообще-то, мы это уже продемонстрировали.
[01:20:00 - 01:21:00] | С. Гуриев | Эта технология уже поддерживает перевод с английского на испанский и обратно?
[01:21:00 - 01:22:00] | Э. Шмидт | Мы планируем сделать полную поддержку всех направлений перевода. Поэтому одна из наших целей — обеспечить возможность перевода с любого языка на любой, причем как устной, так и письменной речи.
