[00:00:00 - 00:01:00] | О. Гадиш | Особенно муж, да?
[00:11:00 - 00:12:00] | Т. Канделаки | Вы знаете, я не могу не спросить, потому что мы много говорим о частном пространстве и его защите: а Вы зарегистрированы в социальных сетях? Вообще ими пользуетесь? Или как человек, который все-таки понимает, какой фидбэк от этого может быть, вы себя охраняете, не регистрируясь нигде или регистрируясь под чужим именем?
[00:12:00 - 00:13:00] | А. Дубовсков | Что называется, welcome. Я очень неактивный пользователь социальных сетей и действительно, зарегистрирован в одной из них, это произошло очень давно, когда она только зародилась. Но, собственно говоря, никаких новых там движений на протяжении последних нескольких лет не было с моей стороны.
[00:13:00 - 00:14:00] | Т. Канделаки | В этой социальной сети, Вы имеете в виду?
[00:14:00 - 00:15:00] | А. Дубовсков | Да.
[00:15:00 - 00:16:00] | Т. Канделаки | То есть у Вас все прошло нормально?
[00:16:00 - 00:17:00] | А. Дубовсков | Вы знаете, я считаю, что, приступая к обсуждению такой серьезной темы, хорошо бы воспользоваться какими-то статистическими данными. Вот у меня, например, нет информации, какому проценту людей ситуация с такой неурегулированностью нанесла реально какой-то вред. Это с одной стороны. С другой стороны, интересно было бы иметь какие-то маркетинговые исследования на эту тему, понять в принципе, насколько проблема значима. То, что она есть, скажем, на уровне парадокса: там все остается навсегда и как-то на тебя может повлиять, а ты бы этого не хотел, — это очевидно. То есть этот парадокс есть. Но насколько этот парадокс значим? Понимаете, на свете есть огромное количество парадоксов. Очень интересно было бы узнать какие-то данные, основанные на маркетинговых исследованиях. Что считают люди для себя проблемой, с одной стороны, и с другой стороны — для какого количества людей это действительно явилось проблемой? Мне вот почему-то кажется, что огромное количество людей будет считать это проблемой, но процент людей, для кого это действительно явилось проблемой, не превысит процент людей, — ну, или, по крайней мере, будет на уровне статистической погрешности, — для которых проблемой явились, например, правонарушения, не связанные с виртуальным сетевым пространством. Возможно, я ошибаюсь. Но мне кажется, что для нашей дискуссии такие сведения были бы небезынтересны.
[00:17:00 - 00:18:00] | Т. Канделаки | Спасибо большое. Я думаю, что Вы абсолютно правы, тем более, что какие- нибудь яркие примеры, если кто-то из панелистов их приведет, они будут очень показательны. Все прекрасно знают, что тот же Джулиан Ассанж начинал как хакер, которого потом, если не ошибаюсь, после некоторого условного срока, пригласили работать, наоборот, уже в службу безопасности банка. И вот это движение, которое тоже вызывает много вопросов — оно является, в определенном смысле, как раз примером того, о чем Вы говорите. Было бы неплохо услышать и от участников, и от аудитории примеры того, что на самом деле нас беспокоит. Кто-нибудь когда-нибудь сталкивался лично с распространением информации о себе, которую он дал, зарегистрировавшись в сетях? Наталья Касперская. Мой следующий вопрос к Вам. Мы только что обсуждали правила «с точки зрения государства». Как человек, разрабатывающий компьютерные программы, скажите нам правду: достаточно ли у государства, у регулятора, инструментов — я имею в виду технологии и программное обеспечение — чтобы регулировать Интернет? Мы не можем разрешить им защищать нас, но мне очень интересно: способны ли они на самом деле делать это?
[00:18:00 - 00:19:00] | Н. Касперская | Да, я поняла вопрос. С одной стороны, теоретически я, конечно, должна согласиться с министром в том, что регулирование путем запретов — вещь бессмысленная. С другой стороны, когда мы говорим про безопасность вообще, то не надо валить все в одну кучу. Мы начинаем говорить про безопасность здесь, здесь и здесь... Надо делить совершенно четко: есть безопасность частных лиц, это первый уровень. Особенно страдают дети. Есть следующий уровень — безопасность компаний, которую они должны в какой-то степени обеспечивать сами. Следующий уровень — это безопасность государства, о которой в государстве должны, безусловно, заботиться. Пример вируса «стакснэт», — для тех, кто не знает: это вирус, написанный по совместному заказу правительств Соединенных Штатов и Израиля, для атаки важных инфраструктурных объектов Ирана, — пример этого вируса, сложнейшего, который вирусные аналитики всего мира разбирали на протяжении трех месяцев, показывает, что атаки одной страны против другой с помощью киберсредств возможны. Значит, если страна не будет от этого никак защищаться, — это как минимум глупо. С другой стороны, регулирование — если мы просто анонсируем, что мы будем регулировать сейчас весь Интернет — вещь совершенно бессмысленная. Можно говорить о технических средствах, потому что когда мы говорим, что против нас воюют техническими средствами, когда люди взламывают аккаунты, нападают, устраивают массовые акции в Интернете, направленные против государства, — если мы говорим о государстве, в принципе, с этим можно бороться. Какими методами? Существует система фильтрации, те же самые веб-фильтры, особенно фильтры с лингвистическими технологиями, могут с этим спокойно справляться. Существуют файерволы, появляются сейчас новые системы мониторинга, которые мониторят информацию о чем угодно. Задаешь им, например, «терроризм», и они будут мониторить все термины, которые связаны с терроризмом или являются заменителями слова «терроризм». Да, они будут давать определенное количество ложных срабатываний, но в любом случае это будет какая-то картинка. Я точно знаю, что спецслужбы всех стран этим занимаются. Конечно, такие системы фильтрации существуют, и с их помощью ведется наблюдение и проводится реальная работа: какие-то одиозные сайты периодически закрывают, периодически с этим борются. Насколько это эффективно? Ну да, они могут возникнуть в другом месте. Но если ничего не делать, то и ничего не будет. Еще я на вопрос Андрея отвечу, потому что он задал вопрос, какую опасность представляют собой социальные сети. У меня есть определенные цифры именно по соцсетям. Вот данные по России: в 2009 году в открытый доступ было выложено более 130 тысяч учетных записей пользователей в контакте. Это меньше 1% от пользователей сети, это примерно 0,1% от всех пользователей «ВКонтакте». Дальше, если мы возьмем мир в целом, то за прошлый год особенно, он стал прорывным в этом смысле, на Facebook, на Pirate Bay были выложены учетные записи более ста миллионов пользователей, а это, заметим себе, если в Facebook сейчас 640 миллионов, то сто миллионов — это где-то 10%, нет, почти 20%. Это много. То же самое на Myspace и Facebook — персональные данные миллионов пользователей передавались через коммерческие приложения. Тут другая уязвимость была использована, но общее количество атак на социальные сети за последний год выросло на сто тысяч. В штуках. То есть, допустим, одна атака — это данные ста миллионов пользователей украли — это одна атака. Проблема на самом деле есть. Но я не буду говорить про Sony, потому что Sony это уже такой, навязший в зубах случай. Социальные сети, поскольку они концентрируют огромное количество людей, становятся очень хорошей приманкой, наживкой: туда хочется идти — там же много людей. Люди выкладывают массу информации о себе, они выкладывают все свои данные, ну почему же их не украсть? Особенно если мы соединим это с данными их кредитных карт, которые довольно легко соединяются, если используется единый почтовый аккаунт, — вот и все. Мы можем воровать и то, и то. Вытаскиваем пароль, сажаем троянца, который превращает его в ботный отель или во что-то еще, и пожалуйста...
[00:19:00 - 00:20:00] | Т. Канделаки | Наталья, не могу не спросить у Вас — может быть, вопрос не по адресу, но уверена, что у вас есть очень интересное мнение по этому поводу. Вы говорили о том, что воровство в оффлайне естественным образом переходит в онлайн. Если кто-то воровал в обычном режиме, почему бы не своровать что-то в Интернете — тем более что там тоже можно украсть деньги? Возникает первый вопрос: вот Вы сказали об атаках, а есть ли информация о раскрываемости этих атак, о том, что важно для людей, чтобы понимать, насколько мы уязвимы? Это первое. И второе: вот, например, в каждой стране есть свои механизмы наказания, в зависимости от законодательства. Разные преступления наказываются по-разному. Как вы считаете: в будущем все страны должны объединиться, чтобы уровень наказания за преступления в Интернете был одинаковым, или этого никогда не будет? Где-то наказания будут жестче, где-то мягче. И что правильнее, как Вы думаете?
[00:20:00 - 00:21:00] | Н. Касперская | Ситуация с раскрываемостью интернет-преступлений совершенно чудовищная. За прошлый год было раскрыто несколько десятков случаев и поймано несколько десятков команд, которые занимались распространением троянских программ, вирусописательством, взломами, хищением кредитных карт. Это — капля в море. Я даже не могу сказать, какой это процент, но думаю, что тысячная доля процента. Если мы сравним с раскрываемостью преступлений оффлайн, то там это все-таки десятки процентов. Все-таки совершивших убийство в 60-80% случаев ловят. Совершивших воровство, ограбление банка ловят в 90% случаев. Просто так войти в банк, в маске, с автоматом — вероятность неуспеха намного больше вероятности успеха. А в онлайне наоборот — именно из-за анонимности, именно из-за такой организации. Более того, это система, которая работает. Но нужно понимать, это не организованная преступность, это такая роевая структура, наподобие пчелиного роя. Есть люди, которые пишут вирусы, вирусописатели. Они там где-то внизу. Они получают деньги от тех, кто эти вирусы заказывает. Есть люди, которые размещают заказы в Интернете на вирусописательство. Есть люди, которые рекламируют эти услуги. Есть люди, которые обналичивают деньги, потому что это деньги черные и их надо как-то извлечь. И эта вся система как-то работает, причем там нет единого правительства. Но очень часто говорят, что это русские программисты пишут. Часто пишут русские программисты и китайские программисты, а заказывают где-то еще, то есть это международная система. В прошлом году, по-моему, поймали, раскрыли группу украинских программистов, у которых центр был в Нью- Йорке, мозговой центр, который им давал работу, а программисты — они просто программируют. Понимаете, даже непонятно, как их искать. Где у них центр? Кто этим всем управляет?
[00:21:00 - 00:22:00] | Т. Канделаки | Я просто хочу добавить, что когда мы говорим о классических ограблениях, то все представляем американский блокбастер, «Двенадцать друзей Оушена». Мы понимаем, что есть заказчик, есть люди, которые это реализуют. И то, о чем Вы говорите, свидетельствует, прежде всего, о том, что этих людей очень сложно отследить. Но, исходя из того, что воруют базы данных, Вы можете увидеть себя в числе фигурантов крупных преступлений, хотя не совершали их. Если это случится — не удивляйтесь. Я правильно понимаю? Вы же свои данные опубликовали, ваши данные кто-то украл, под вашими данными это может быть совершено, правильно?
[00:22:00 - 00:23:00] | Н. Касперская | Теоретически да, вы можете быть членом ботнет-сети, и при этом вы об этом даже знать не будете. Садится просто троянская программа, сидит она тихо, и у вас просто увеличивается трафик с вашего компьютера. А вы между тем рассылаете спам или делаете еще что-то по заказу. Миллионы компьютеров соединены в ботнет-сети. И миллионы несчастных пользователей об этом не подозревают. Они просто жертвы этой ситуации. Сажать их — в общем, тоже нечестно. Их-то за что?
[00:23:00 - 00:24:00] | Т. Канделаки | Спасибо Вам большое.
[00:24:00 - 00:25:00] | Т. Канделаки | Мой следующий вопрос — к Питеру Грауэру. Вернемся к определению частного пространства. Джулиан Ассанж сказал: «Лучший способ сохранить секрет — не иметь секрета». В таком случае меня интересует вот что: верите ли вы в мир без секретов, в честную, прозрачную дипломатию, в честный, прозрачный бизнес?
[00:25:00 - 00:26:00] | П. Грауэр | Я хочу сделать два замечания. Одно из них слегка дополняет сказанное Оритом. Я хотел бы попросить поднять руку всех в этом зале, кто в данный момент тем или иным образом использует сотовый телефон, iPad или планшет. Ну, давайте, сознавайтесь. Вы не говорите правду. Но я вас вижу. Я говорю это, поскольку заметил, что когда кто-то выступает, вы не смотрите на сцену. Это своего рода показатель масштаба проблемы. А посмотрите на всех находящихся здесь фотографов, они ведут цифровую съемку. Все эти снимки появятся в Интернете, в том или ином виде, через 10-15 минут после того, как мы выйдем отсюда. Это первое замечание. Я хотел просто показать сложность этих проблем. До некоторой степени мы принимаем как само собой разумеющееся, что личные данные будут защищены, что с нашим частным пространством все будет в порядке. На мой взгляд, думать так очень наивно. Второе замечание, которое я хотел бы сделать, прежде чем отвечать на поставленный вопрос более конкретно. Месяца полтора-два назад я ужинал с бывшим председателем Объединенного комитета начальников штабов при президенте Соединенных Штатов. На ужине присутствовало около десяти человек, и кто-то спросил у генерала Пэйса (а это генерал с четырьмя звездами на погонах из Корпуса морской пехоты): «Что Вас беспокоит больше всего?». Так вот, он воевал в Афганистане, в Ираке, помимо этого в его послужном списке есть и Северная Корея, и Мексика, и борьба с наркотерроризмом. И этот человек, который изъездил весь Ближний Восток, бывал во всех других горячих точках мира, ответил: «Меня больше не беспокоит военный терроризм. Меня беспокоит компьютерный терроризм». И это для всех нас — для тех, кто работает в правительстве, в частном секторе, в бизнесе, в образовании, — вопросы, которыми мы должны заниматься вместе, которые мы должны решать, чтобы успешно двигаться вперед. Я не думаю, что, в конце концов, введут жесткие, непреложные правила. Однако я действительно считаю, что нам нужны единые стандарты поведения, принятые во всех странах. И нам нужны схемы государственно- частного партнерства, чтобы сообща создать какие-то из этих стандартов и создать у людей чувство ответственности за то, чем они каждодневно занимаются в Интернете. Наша компания свято верит в концепцию частного пространства, которое, я думаю, все же сохранится, это первое. Второе — это вопрос прозрачности. Прозрачность, я думаю, создает гораздо больше доверия к структурам, которые прозрачны в плане имеющейся у них информации. Таким образом, я не думаю, что прозрачность уйдет в прошлое. Я думаю, что она сохранится. Но ответственность за это лежит на всех нас, особенно на нашей компании. Элизабет будет говорить об этом через минуту, так как это имеет отношение к ее компании. Мы являемся сегодня одним из крупнейших поставщиков информации в сфере финансовых услуг. Если наша система «полетит» по вине хакеров, мировые рынки капитала остановятся. А потому мы тратим на эти вопросы непропорционально много времени. Служба безопасности нашей компании докладывает мне о ситуации. Я встречаюсь с главой нашей службы безопасности два раза в неделю, чтобы обсудить текущее положение дел. Мы управляем одной из крупнейших частных коммуникационных сетей в мире. Никто из нас не может противодействовать тому цунами, которое поднялось, чему мы все в определенной степени способствовали. Но мы должны создать какие-то стандарты. Должна существовать концепция частного пространства. Мы все должны чувствовать уверенность в том, что во время путешествия нашей информации, — между членами семьи, коллегами по работе или кем-то еще, — она защищена. Итак, я верю в частное пространство. И, конечно, я верю в мир, в котором существует прозрачность. Я отвлекусь на секунду. Кое-кто из вас уже видел: мы написали статью, опубликованную в сегодняшнем номере Wall Street Journal, о ЕЦБ и его нежелании раскрыть информацию, в частности, о займах, сделанных Грецией, и финансовой помощи Греции. Я думаю, что такие вещи будут происходить и дальше, но все мы должны быть более бдительными, и, кроме того, должны существовать единые стандарты.
[00:26:00 - 00:27:00] | Т. Канделаки | Здесь присутствует один из менеджеров компании Visa, Элизабет Бьюз. И каждый поймет, почему мой следующий вопрос будет о деньгах. Всем интересно знать, как можно сберечь свои деньги. Кажется, что сегодня в мире имеется гораздо больше информации по проблемам защиты данных. Я думаю, что ни одна компания не может гарантировать защиту своих данных. У них есть ощущение того, что миллионы их клиентов начинают все больше испытывать обеспокоенность этим. Можете ли вы как ведущая платежная компания мира что-либо сделать для укрепления этой уверенности? Думаю, что у каждого здесь есть платежная карта, и все испытывают страх в связи с этим. Итак, защищены ваши деньги или нет?
[00:27:00 - 00:28:00] | П. Грауэр | Можно мне сказать два слова? Я считаю, она великолепно выполняет свою работу, Элизабет. Все знают, что когда вам вдруг звонят и спрашивают: «Вы на самом деле ездили в Лас-Вегас и потратили такую-то сумму?», то это они вас так защищают.
